Face_Index,Vertex_Coordinates,Red,Green,Blue
97,"(4.071891, 1.434731, 5.85129); (3.915695, 1.654633, 5.917054); (3.976087, 1.638969, 6.184569); (4.13215, 1.418205, 6.120514)",0.8,0.8,0.8
98,"(3.877991, 1.848137, 6.515989); (3.941178, 1.851334, 6.779918); (4.109162, 1.643211, 6.714907); (4.043893, 1.637741, 6.449583)",0.8,0.8,0.8
99,"(3.877991, 1.848137, 6.515989); (3.813682, 1.851433, 6.251956); (3.633708, 2.043373, 6.324349); (3.687903, 2.028763, 6.589962)",0.8,0.8,0.8
100,"(4.283597, 1.190193, 6.060684); (4.13215, 1.418205, 6.120514); (4.197, 1.41449, 6.388865); (4.340379, 1.180351, 6.333803)",0.8,0.8,0.8
101,"(4.391795, 1.177544, 6.607938); (4.340379, 1.180351, 6.333803); (4.197, 1.41449, 6.388865); (4.251332, 1.412231, 6.65917)",0.8,0.8,0.8
102,"(4.251332, 1.412231, 6.65917); (4.302054, 1.417938, 6.929528); (4.426137, 1.17482, 6.884835); (4.391795, 1.177544, 6.607938)",0.8,0.8,0.8
103,"(4.302054, 1.417938, 6.929528); (4.327958, 1.41568, 7.203301); (4.433394, 1.168007, 7.162748); (4.426137, 1.17482, 6.884835)",0.8,0.8,0.8
104,"(4.302054, 1.417938, 6.929528); (4.251332, 1.412231, 6.65917); (4.109162, 1.643211, 6.714907); (4.161193, 1.64666, 6.983246)",0.8,0.8,0.8
105,"(-3.952311, 2.196259, 10.20241); (-3.863626, 2.111862, 10.4622); (-3.727231, 2.311539, 10.483524); (-3.808806, 2.401199, 10.222451)",0.8,0.8,0.8
106,"(-3.808806, 2.401199, 10.222451); (-3.727231, 2.311539, 10.483524); (-3.579112, 2.503326, 10.505438); (-3.658359, 2.601326, 10.247106)",0.8,0.8,0.8
107,"(-3.349593, 2.583298, 10.791351); (-3.423889, 2.690063, 10.533132); (-3.579112, 2.503326, 10.505438); (-3.501339, 2.405678, 10.765838)",0.8,0.8,0.8
108,"(-3.579112, 2.503326, 10.505438); (-3.423889, 2.690063, 10.533132); (-3.498487, 2.79464, 10.275066); (-3.658359, 2.601326, 10.247106)",0.8,0.8,0.8
109,"(-3.579112, 2.503326, 10.505438); (-3.727231, 2.311539, 10.483524); (-3.646806, 2.223236, 10.745543); (-3.501339, 2.405678, 10.765838)",0.8,0.8,0.8
110,"(-3.726086, 2.690979, 9.983073); (-3.883096, 2.486397, 9.959234); (-3.808806, 2.401199, 10.222451); (-3.658359, 2.601326, 10.247106)",0.8,0.8,0.8
111,"(-4.028775, 2.273811, 9.937546); (-3.952311, 2.196259, 10.20241); (-3.808806, 2.401199, 10.222451); (-3.883096, 2.486397, 9.959234)",0.8,0.8,0.8
112,"(-2.012232, -0.695702, 14.135697); (-1.993483, -0.702942, 14.431802); (-2.285248, -0.740112, 14.441319); (-2.295991, -0.753181, 14.148484)",0.8,0.8,0.8
113,"(-2.56914, -0.726578, 14.735534); (-2.571893, -0.749405, 14.447015); (-2.285248, -0.740112, 14.441319); (-2.281055, -0.73436, 14.73567)",0.8,0.8,0.8
114,"(-2.295991, -0.753181, 14.148484); (-2.285248, -0.740112, 14.441319); (-2.571893, -0.749405, 14.447015); (-2.58221, -0.761307, 14.157917)",0.8,0.8,0.8
115,"(-2.571893, -0.749405, 14.447015); (-2.56914, -0.726578, 14.735534); (-2.849073, -0.68428, 14.730152); (-2.854114, -0.713661, 14.447365)",0.8,0.8,0.8
116,"(-2.295991, -0.753181, 14.148484); (-2.315876, -0.740807, 13.856853); (-2.037124, -0.674263, 13.841166); (-2.012232, -0.695702, 14.135697)",0.8,0.8,0.8
117,"(-2.295991, -0.753181, 14.148484); (-2.58221, -0.761307, 14.157917); (-2.600039, -0.759003, 13.869778); (-2.315876, -0.740807, 13.856853)",0.8,0.8,0.8
118,"(-1.810858, -0.505394, 13.53372); (-1.621845, -0.283577, 13.531662); (-1.573257, -0.330818, 13.816641); (-1.771908, -0.546204, 13.822742)",0.8,0.8,0.8
119,"(-1.531224, -0.361969, 14.108078); (-1.573257, -0.330818, 13.816641); (-1.401566, -0.095261, 13.813707); (-1.337694, -0.137604, 14.100038)",0.8,0.8,0.8
120,"(-1.361578, 0.225159, 13.542356); (-1.293699, 0.176781, 13.823631); (-1.401566, -0.095261, 13.813707); (-1.464921, -0.042435, 13.532166)",0.8,0.8,0.8
121,"(-1.621845, -0.283577, 13.531662); (-1.464921, -0.042435, 13.532166); (-1.401566, -0.095261, 13.813707); (-1.573257, -0.330818, 13.816641)",0.8,0.8,0.8
122,"(-1.771908, -0.546204, 13.822742); (-1.573257, -0.330818, 13.816641); (-1.531224, -0.361969, 14.108078); (-1.748907, -0.559402, 14.119307)",0.8,0.8,0.8
123,"(-1.724545, -0.555656, 14.715796); (-1.993388, -0.678108, 14.728135); (-1.993483, -0.702942, 14.431802); (-1.731927, -0.563438, 14.417381)",0.8,0.8,0.8
124,"(-1.724545, -0.555656, 14.715796); (-1.731791, -0.529823, 15.013619); (-2.003509, -0.640343, 15.022876); (-1.993388, -0.678108, 14.728135)",0.8,0.8,0.8
125,"(-1.724545, -0.555656, 14.715796); (-1.479988, -0.386803, 14.703564); (-1.480665, -0.374138, 15.00317); (-1.731791, -0.529823, 15.013619)",0.8,0.8,0.8
126,"(-2.288209, -0.709488, 15.029778); (-2.281055, -0.73436, 14.73567); (-1.993388, -0.678108, 14.728135); (-2.003509, -0.640343, 15.022876)",0.8,0.8,0.8
127,"(-2.281055, -0.73436, 14.73567); (-2.285248, -0.740112, 14.441319); (-1.993483, -0.702942, 14.431802); (-1.993388, -0.678108, 14.728135)",0.8,0.8,0.8
128,"(-1.748907, -0.559402, 14.119307); (-1.731927, -0.563438, 14.417381); (-1.993483, -0.702942, 14.431802); (-2.012232, -0.695702, 14.135697)",0.8,0.8,0.8
129,"(0.740753, 5.680779, -5.939546); (0.625959, 5.698616, -6.224075); (0.59671, 5.975502, -6.161691); (0.721634, 5.960304, -5.882816)",0.8,0.8,0.8
130,"(0.575644, 6.253204, -6.102823); (0.59671, 5.975502, -6.161691); (0.460014, 5.992973, -6.435129); (0.435908, 6.268494, -6.373281)",0.8,0.8,0.8
131,"(0.460014, 5.992973, -6.435129); (0.322248, 6.014084, -6.707436); (0.279, 6.283287, -6.63418); (0.435908, 6.268494, -6.373281)",0.8,0.8,0.8
132,"(0.625959, 5.698616, -6.224075); (0.49556, 5.71833, -6.502137); (0.460014, 5.992973, -6.435129); (0.59671, 5.975502, -6.161691)",0.8,0.8,0.8
133,"(0.409609, 6.542854, -6.310623); (0.562571, 6.532616, -6.048713); (0.575644, 6.253204, -6.102823); (0.435908, 6.268494, -6.373281)",0.8,0.8,0.8
